Metoda,n,seed,Koszt,Czas
Algorytm 123,5,10,106,0.000000
Nearest Neighbor,5,10,47,0.000000
Farthest Insertion,5,10,47,0.000000
2-opt,5,10,47,0.000000
Simulated Annealing,5,10,47,4.533970
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,20,118,0.000000
Nearest Neighbor,5,20,98,0.000000
Farthest Insertion,5,20,96,0.000000
2-opt,5,20,95,0.000000
Simulated Annealing,5,20,95,4.627616
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,30,137,0.000000
Nearest Neighbor,5,30,75,0.000000
Farthest Insertion,5,30,56,0.000000
2-opt,5,30,53,0.000000
Simulated Annealing,5,30,53,4.981597
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,40,89,0.000000
Nearest Neighbor,5,40,92,0.000000
Farthest Insertion,5,40,88,0.000000
2-opt,5,40,88,0.000000
Simulated Annealing,5,40,88,6.237107
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,50,128,0.000000
Nearest Neighbor,5,50,71,0.000000
Farthest Insertion,5,50,59,0.000000
2-opt,5,50,71,0.000000
Simulated Annealing,5,50,59,6.190791
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,60,60,0.000000
Nearest Neighbor,5,60,57,0.000000
Farthest Insertion,5,60,44,0.000000
2-opt,5,60,44,0.000000
Simulated Annealing,5,60,44,6.106839
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,70,113,0.000000
Nearest Neighbor,5,70,99,0.000000
Farthest Insertion,5,70,109,0.000000
2-opt,5,70,99,0.000000
Simulated Annealing,5,70,92,6.006093
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,80,88,0.000000
Nearest Neighbor,5,80,88,0.000000
Farthest Insertion,5,80,88,0.000000
2-opt,5,80,88,0.000000
Simulated Annealing,5,80,88,5.952562
Metoda,n,seed,Koszt,Czas
Algorytm 123,5,90,122,0.000000
Nearest Neighbor,5,90,119,0.000000
Farthest Insertion,5,90,118,0.000000
2-opt,5,90,105,0.000000
Simulated Annealing,5,90,105,6.048754
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,10,484,0.000000
Nearest Neighbor,10,10,242,0.000000
Farthest Insertion,10,10,199,0.000000
2-opt,10,10,237,0.000000
Simulated Annealing,10,10,150,7.214145
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,20,392,0.000000
Nearest Neighbor,10,20,318,0.000000
Farthest Insertion,10,20,212,0.000000
2-opt,10,20,252,0.001039
Simulated Annealing,10,20,178,7.079799
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,30,605,0.000000
Nearest Neighbor,10,30,305,0.000000
Farthest Insertion,10,30,209,0.000000
2-opt,10,30,173,0.001540
Simulated Annealing,10,30,141,7.035912
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,40,367,0.000000
Nearest Neighbor,10,40,242,0.000000
Farthest Insertion,10,40,194,0.000000
2-opt,10,40,153,0.000000
Simulated Annealing,10,40,152,7.058110
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,50,437,0.000000
Nearest Neighbor,10,50,324,0.000000
Farthest Insertion,10,50,238,0.000000
2-opt,10,50,284,0.000000
Simulated Annealing,10,50,165,6.907466
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,60,453,0.000000
Nearest Neighbor,10,60,250,0.000000
Farthest Insertion,10,60,237,0.000000
2-opt,10,60,177,0.000000
Simulated Annealing,10,60,167,6.927278
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,70,346,0.000000
Nearest Neighbor,10,70,248,0.000000
Farthest Insertion,10,70,164,0.000000
2-opt,10,70,188,0.000000
Simulated Annealing,10,70,149,7.050755
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,80,546,0.000000
Nearest Neighbor,10,80,268,0.000000
Farthest Insertion,10,80,189,0.000000
2-opt,10,80,210,0.000000
Simulated Annealing,10,80,124,7.023137
Metoda,n,seed,Koszt,Czas
Algorytm 123,10,90,569,0.000000
Nearest Neighbor,10,90,231,0.000000
Farthest Insertion,10,90,207,0.000000
2-opt,10,90,184,0.000000
Simulated Annealing,10,90,142,6.875374
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,10,13459,0.000000
Nearest Neighbor,50,10,1995,0.000000
Farthest Insertion,50,10,2486,0.004993
2-opt,50,10,1877,0.031009
Simulated Annealing,50,10,1422,14.792746
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,20,12158,0.000000
Nearest Neighbor,50,20,2086,0.000000
Farthest Insertion,50,20,2373,0.002998
2-opt,50,20,2086,0.007046
Simulated Annealing,50,20,1553,14.993212
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,30,12840,0.000000
Nearest Neighbor,50,30,1883,0.000000
Farthest Insertion,50,30,2433,0.002973
2-opt,50,30,1883,0.006900
Simulated Annealing,50,30,1503,15.439722
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,40,12399,0.000000
Nearest Neighbor,50,40,1513,0.000000
Farthest Insertion,50,40,2279,0.004996
2-opt,50,40,1413,0.020998
Simulated Annealing,50,40,1339,14.600149
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,50,12240,0.000000
Nearest Neighbor,50,50,3107,0.000000
Farthest Insertion,50,50,2675,0.003421
2-opt,50,50,2261,0.021295
Simulated Annealing,50,50,1950,15.254994
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,60,12865,0.000000
Nearest Neighbor,50,60,1948,0.000000
Farthest Insertion,50,60,2536,0.003062
2-opt,50,60,1563,0.013264
Simulated Annealing,50,60,1557,15.004940
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,70,14238,0.000000
Nearest Neighbor,50,70,2292,0.000000
Farthest Insertion,50,70,2284,0.002990
2-opt,50,70,2060,0.014562
Simulated Annealing,50,70,1704,15.502741
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,80,12168,0.000000
Nearest Neighbor,50,80,2033,0.000000
Farthest Insertion,50,80,2392,0.003371
2-opt,50,80,1501,0.036707
Simulated Annealing,50,80,1618,15.753963
Metoda,n,seed,Koszt,Czas
Algorytm 123,50,90,10360,0.000000
Nearest Neighbor,50,90,1949,0.000000
Farthest Insertion,50,90,1718,0.003160
2-opt,50,90,1949,0.006833
Simulated Annealing,50,90,1689,15.031608
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,10,31345,0.000000
Nearest Neighbor,75,10,3739,0.000000
Farthest Insertion,75,10,4910,0.012446
2-opt,75,10,2799,0.055630
Simulated Annealing,75,10,2576,20.482111
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,20,29027,0.000000
Nearest Neighbor,75,20,3573,0.000000
Farthest Insertion,75,20,4094,0.009984
2-opt,75,20,3573,0.024844
Simulated Annealing,75,20,2783,20.617451
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,30,28872,0.000000
Nearest Neighbor,75,30,3375,0.000000
Farthest Insertion,75,30,4657,0.009914
2-opt,75,30,3375,0.023269
Simulated Annealing,75,30,2788,20.472851
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,40,31454,0.000000
Nearest Neighbor,75,40,3411,0.000000
Farthest Insertion,75,40,4322,0.011013
2-opt,75,40,3411,0.025919
Simulated Annealing,75,40,2967,20.137207
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,50,28999,0.000000
Nearest Neighbor,75,50,2741,0.000000
Farthest Insertion,75,50,3966,0.010019
2-opt,75,50,2741,0.023294
Simulated Annealing,75,50,2321,20.485385
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,60,27302,0.000000
Nearest Neighbor,75,60,2803,0.000000
Farthest Insertion,75,60,3849,0.009977
2-opt,75,60,2803,0.023176
Simulated Annealing,75,60,2676,20.398115
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,70,27840,0.000000
Nearest Neighbor,75,70,3294,0.000000
Farthest Insertion,75,70,4320,0.017021
2-opt,75,70,3294,0.034995
Simulated Annealing,75,70,2496,20.671145
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,80,27005,0.000000
Nearest Neighbor,75,80,3774,0.000000
Farthest Insertion,75,80,4205,0.010165
2-opt,75,80,2703,0.090477
Simulated Annealing,75,80,2532,20.278294
Metoda,n,seed,Koszt,Czas
Algorytm 123,75,90,27540,0.000000
Nearest Neighbor,75,90,3357,0.000000
Farthest Insertion,75,90,4367,0.010032
2-opt,75,90,3357,0.028165
Simulated Annealing,75,90,2777,20.494914
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,10,52405,0.000000
Nearest Neighbor,100,10,4486,0.001015
Farthest Insertion,100,10,7141,0.021404
2-opt,100,10,4214,0.111233
Simulated Annealing,100,10,3638,25.265179
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,20,47116,0.000000
Nearest Neighbor,100,20,5280,0.000000
Farthest Insertion,100,20,6583,0.027315
2-opt,100,20,5280,0.059117
Simulated Annealing,100,20,4073,25.680151
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,30,51449,0.000000
Nearest Neighbor,100,30,4152,0.000000
Farthest Insertion,100,30,6653,0.025244
2-opt,100,30,3735,0.122942
Simulated Annealing,100,30,3645,25.712486
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,40,48559,0.000000
Nearest Neighbor,100,40,4815,0.000000
Farthest Insertion,100,40,7063,0.022093
2-opt,100,40,4815,0.054632
Simulated Annealing,100,40,4653,25.233361
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,50,51025,0.000000
Nearest Neighbor,100,50,5326,0.000980
Farthest Insertion,100,50,7006,0.034042
2-opt,100,50,4782,0.111282
Simulated Annealing,100,50,4502,26.040850
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,60,48528,0.000000
Nearest Neighbor,100,60,3920,0.000000
Farthest Insertion,100,60,6698,0.024360
2-opt,100,60,3615,0.196000
Simulated Annealing,100,60,3673,25.098347
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,70,53380,0.000000
Nearest Neighbor,100,70,5089,0.000997
Farthest Insertion,100,70,6840,0.022027
2-opt,100,70,4212,0.173149
Simulated Annealing,100,70,4222,25.377657
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,80,47744,0.000000
Nearest Neighbor,100,80,3861,0.000000
Farthest Insertion,100,80,6449,0.023069
2-opt,100,80,3861,0.055147
Simulated Annealing,100,80,3346,25.337178
Metoda,n,seed,Koszt,Czas
Algorytm 123,100,90,48246,0.000000
Nearest Neighbor,100,90,4410,0.000000
Farthest Insertion,100,90,7257,0.022725
2-opt,100,90,3945,0.166756
Simulated Annealing,100,90,4077,25.605485
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,10,197453,0.000000
Nearest Neighbor,200,10,9895,0.000892
Farthest Insertion,200,10,17471,0.208082
2-opt,200,10,8796,0.910537
Simulated Annealing,200,10,8448,46.172088
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,20,204422,0.000000
Nearest Neighbor,200,20,12154,0.002009
Farthest Insertion,200,20,19706,0.186416
2-opt,200,20,11244,1.431929
Simulated Annealing,200,20,10457,46.346667
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,30,204814,0.000000
Nearest Neighbor,200,30,10334,0.002002
Farthest Insertion,200,30,17947,0.180101
2-opt,200,30,8960,1.375157
Simulated Annealing,200,30,8352,46.208166
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,40,195169,0.000000
Nearest Neighbor,200,40,11713,0.002000
Farthest Insertion,200,40,19882,0.179251
2-opt,200,40,10414,0.928708
Simulated Annealing,200,40,8624,46.908998
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,50,194028,0.000000
Nearest Neighbor,200,50,9978,0.002001
Farthest Insertion,200,50,19468,0.185212
2-opt,200,50,9978,0.488807
Simulated Annealing,200,50,8915,47.023344
Metoda,n,seed,Koszt,Czas
Algorytm 123,200,60,204632,0.000000
Nearest Neighbor,200,60,11938,0.002273
